X,Y,id,@id,addr:city,addr:street,denotation,genus,leaf_cycle,leaf_type,natural,species,species:es,@timestamp,@version,@changeset,@user,@uid,name,tourism,species:mp,wikidata,wikipedia,description,addr:housenumber,ele,species:wikidata,species:wikipedia,website,species:ma,crown_type,circumference,diameter_crown,height,height_trunk,addr:city_2,species:en,addr:city_1,species:es1
-73.2512299,-39.8080204,node/1531626349,node/1531626349,Valdivia,Avenida Rector Eduardo Morales Miranda,avenue,Populus,deciduous,broadleaved,tree,Pupulus nigra,Álamo,2018/05/02 00:37:56+00,9,58599179,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.3060908,-39.697609,node/3426987679,node/3426987679,,,,,,,tree,,,2015/03/30 17:19:07+00,1,29856097,joost schouppe,67832,Abuelo Tineo,attraction,,,,,,,,,,,,,,,,,,,
-73.2506443,-39.8106972,node/3641457093,node/3641457093,Valdivia,Gabriela Mistral,urban,Jubaea,evergreen,broadleaved,tree,Jubaea chilensis,Palma Chilena,2018/12/06 11:10:15+00,9,65235061,Awo,196556,,,Cancán,,,,,,,,,,,,,,,,,,
-73.2468834,-39.8123196,node/4286211006,node/4286211006,Valdivia,,park,Maytenus,evergreen,broadleaved,tree,Maytenus boaria,Maitén,2019/04/17 19:22:49+00,5,69321603,Awo,196556,,,,Q1152753,es:Maytenus boaria,,,,,,,,,,,,,,,,
-73.2460581,-39.8125521,node/4286211011,node/4286211011,Valdivia,,park,,,,tree,,,2019/04/17 19:22:50+00,2,69321603,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2467984,-39.8121508,node/4286211014,node/4286211014,Valdivia,,park,,,,tree,,,2019/04/17 19:22:49+00,3,69321603,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2460168,-39.8119859,node/4286211017,node/4286211017,,,,,,,tree,,,2018/12/06 11:10:15+00,3,65235061,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2469859,-39.8125623,node/4286211020,node/4286211020,Valdivia,,,,,,tree,,,2019/04/17 19:22:50+00,2,69321603,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2460976,-39.8119703,node/4286211024,node/4286211024,,,,,,,tree,,,2018/12/06 11:10:15+00,3,65235061,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2463105,-39.8128,node/4286211025,node/4286211025,Valdivia,,park,,,,tree,,,2019/04/17 19:22:50+00,4,69321603,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2476739,-39.8119962,node/4286211027,node/4286211027,,,,,,,tree,,,2018/12/11 17:57:01+00,2,65384562,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2466613,-39.8124943,node/4286211031,node/4286211031,,,park,,,,tree,,,2019/04/17 19:22:50+00,2,69321603,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2461788,-39.8122162,node/4286211032,node/4286211032,,,park,,,,tree,,,2019/04/17 19:22:50+00,2,69321603,Awo,196556,,,,,,,,,,,,,,,,,,,,,
-73.2460939,-39.81265,node/4286211039,node/4286211039,Valdivia,,park,,,,tree,,,2019/04/17 19:22:50+00,2,69321603,Awo,196556,,,,,,,,,,,,,,,,,,,,,
