"","Status","Point","Responsible.Agency","Address","Request.Details"
"1","Closed","(37.754314034266, -122.44384973742)","DPW BUF Queue","445 BURNETT AVE, SAN FRANCISCO, CA, 94131","Weeding"
"2","Closed","(37.742419738793, -122.428932930354)","RPD Park Service Area 5 Queue","1670 SANCHEZ ST, SAN FRANCISCO, CA, 94131","About_to_fall"
"3","Closed","(37.718000063728, -122.44181946738)","DPW BUF Queue","2155 ALEMANY BLVD, SAN FRANCISCO, CA, 94112","Fallen_tree"
"4","Closed","(37.754597043397, -122.408214560244)","DPW Ops Queue","1097 YORK ST, SAN FRANCISCO, CA, 94110","Other"
"5","Closed","(37.737922512636, -122.417846538294)","DPW Ops Queue","233 BENNINGTON ST, SAN FRANCISCO, CA, 94110","Fallen_tree"
"6","Closed","(37.749558721727, -122.400196279341)","DPW Ops Queue","2300 CESAR CHAVEZ ST, SAN FRANCISCO, CA, 94124","Other"
"7","Open","(37.72846043256, -122.472142816201)","DPW Ops Queue","530 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA, 94127","Other"
"8","Open","(37.744759048935, -122.433246623022)","DPW BUF Queue","483 28TH ST, SAN FRANCISCO, CA, 94131","Property_damage"
"9","Open","(37.76159947089, -122.461983509446)","DPW BUF Queue","1439 5TH AVE, SAN FRANCISCO, CA, 94122","Fallen_tree"
"10","Open","(37.7315740125774, -122.442020583893)","DPW Ops Queue","Intersection of CONGO ST and MONTEREY BLVD","Pruning_request"
"11","Closed","(37.7657519991796, -122.417542143576)","DPW BUF Queue","Intersection of SOUTH VAN NESS AVE and ADAIR ST","Weeding"
"12","Open","(37.742360389508, -122.461167666614)","DPW BUF Queue","209 KENSINGTON WAY, SAN FRANCISCO, CA, 94127","Fallen_tree"
"13","Open","(37.754714940386, -122.457826698383)","DPW Ops Queue","275 CHRISTOPHER DR, SAN FRANCISCO, CA, 94131","Fallen_tree"
"14","Closed","(37.763799962, -122.4378537)","RPD Park Service Area 5 Queue","States Street Playground, , SAN FRANCISCO, CA, 94114","Damaged_vandalism"
"15","Open","(37.709463166073, -122.409968286847)","DPW BUF Queue","36 TOMASO CT, SAN FRANCISCO, CA, 94134","Fallen_tree"
"16","Open","(37.7758622688977, -122.494103994238)","DPW Ops Queue","Intersection of 34TH AVE and BALBOA ST","Lifted_sidewalk_tree_roots"
"17","Closed","(37.748836161865, -122.44418463202)","DPW BUF Queue","140 PORTOLA DR, SAN FRANCISCO, CA, 94131","Sprinkler_system_issues"
"18","Open","(37.727053540917, -122.460431885618)","DPW Ops Queue","100 DORADO TER, SAN FRANCISCO, CA, 94112","Empty_tree_basin"
"19","Closed","(37.77088424714, -122.430272661888)","DPW Ops Queue","155 FILLMORE ST, SAN FRANCISCO, CA, 94117","Fallen_tree"
"20","Closed","(37.730307924259, -122.464168354282)","DPW Ops Queue","730 DARIEN WAY, SAN FRANCISCO, CA, 94127","Property_damage"
"21","Open","(37.769475551244, -122.420254498765)","DPW Ops Queue","1726 MISSION ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"22","Open","(37.746720840447, -122.412447068868)","DPW Ops Queue","354 PRECITA AVE, SAN FRANCISCO, CA, 94110","Pruning_request"
"23","Open","(37.752965088068, -122.471137514183)","DPW BUF Queue","1871 14TH AVE, SAN FRANCISCO, CA, 94122","Shrubbery_blocking_visibility"
"24","Closed","(37.781229495704, -122.408751237476)","DPW BUF Queue","87 6TH ST, SAN FRANCISCO, CA, 94103","Other"
"25","Open","(37.7473661751726, -122.4051012832)","DPW Ops Queue","Intersection of HOLLADAY AVE and WRIGHT ST","Damaged_vandalism"
"26","Open","(37.779790379884, -122.407126457968)","DPW BUF Queue","199 6TH ST, SAN FRANCISCO, CA, 94103","Other"
"27","Closed","(37.763404822035, -122.454804061754)","DPW Ops Queue","122 EDGEWOOD AVE, SAN FRANCISCO, CA, 94117","Fallen_tree"
"28","Closed","(37.763139357676, -122.454629191933)","DPW BUF Queue","16 BELMONT AVE, SAN FRANCISCO, CA, 94117","Fallen_tree"
"29","Open","(37.7578555674132, -122.439074027765)","DPW Ops Queue","Intersection of SEWARD ST and DOUGLASS ST","About_to_fall"
"30","Open","(37.773258363779, -122.475334643286)","DPW Ops Queue","788 17TH AVE, SAN FRANCISCO, CA, 94121","Sewer_damage_tree_roots"
"31","Open","(37.757594324754, -122.414385534725)","DPW Ops Queue","2485 FOLSOM ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"32","Closed","(37.7521036092557, -122.420664719703)","DPW BUF Queue","Intersection of 24TH ST and VALENCIA ST","About_to_fall"
"33","Open","(37.778565322803, -122.483689588629)","DPW Ops Queue","583 24TH AVE, SAN FRANCISCO, CA, 94121","Sewer_damage_tree_roots"
"34","Open","(37.754341809811, -122.416609792968)","DPW Ops Queue","1176 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"35","Closed","(37.791994892114, -122.434302754644)","DPW Ops Queue","2420 FILLMORE ST, SAN FRANCISCO, CA, 94115","Near_communication_line"
